clean_prefix,corrupt_prefix,patient,clean_verb,corrupt_verb,uid,domain
The child was questioned by the,The child was frozen by the,child,questioned,frozen,4f3f23d3f5ae4905a3da07d14b956885,Humans as Physical Entities
The report was verified by the,The report was scrambled by the,report,verified,scrambled,95d0c6d381944cf39e019d42cd5de3fa,Information Resources
The entry was verified by the,The entry was deleted by the,entry,verified,deleted,08c09133869a48e689befb30af6f7bc3,Information Resources
The thesis was translated by the,The thesis was scrambled by the,thesis,translated,scrambled,6b68376ea5f247f0a360d5e1263631d6,Academic Scientific Frame
The chapter was archived by the,The chapter was scrambled by the,chapter,archived,scrambled,9b84c17b6e7142d987f2a96f2e3b1f09,Academic Scientific Frame
The motorcycle was repaired by the,The motorcycle was destroyed by the,motorcycle,repaired,destroyed,b702890cc84f4d8ba58ecb6f60b93436,Vehicles and Conveyances
The balance was valued by the,The balance was drained by the,balance,valued,drained,8dc3a999672549b7bb89365f40d1d409,Financial Economic Frame
The girl was assisted by the,The girl was trapped by the,girl,assisted,trapped,f0be14dcdccb4e6680d1e9d9cd1a6cfb,Humans as Physical Entities
The income was adjusted by the,The income was exhausted by the,income,adjusted,exhausted,feea902db0a14b7d8f54491b564906a9,Financial Economic Frame
The transcript was revised by the,The transcript was degraded by the,transcript,revised,degraded,3c35c74857194793b0e661a21f495ba8,Academic Scientific Frame
The draft was archived by the,The draft was scrambled by the,draft,archived,scrambled,60b0321d122a4e98a31420c677edbe29,Academic Scientific Frame
The contract was processed by the,The contract was corrupted by the,contract,processed,corrupted,ed15e7f55d7e4f3886c8802767ea5167,Legal Administrative Frame
The income was adjusted by the,The income was inflated by the,income,adjusted,inflated,b7cf15d05ec248cc8fc16f995de6d35c,Financial Economic Frame
The jacket was folded by the,The jacket was shredded by the,jacket,folded,shredded,664d1a63658340e6a05ee4d012537b7d,Textile Garment Frame
The lease was authorized by the,The lease was damaged by the,lease,authorized,damaged,675521096d084eb6927ec4da417e678f,Legal Administrative Frame
The revenue was allocated by the,The revenue was depleted by the,revenue,allocated,depleted,17aefed3a9db4ef6bbda78f8295a5f1a,Financial Economic Frame
The thesis was discussed by the,The thesis was degraded by the,thesis,discussed,degraded,7817bac917204f3a8ddff36243deddd5,Academic Scientific Frame
The terminal was maintained by the,The terminal was battered by the,terminal,maintained,battered,1e1971ebbfd4458887b65cd5abfb9e5c,Physical Structures
The model was shared by the,The model was scrambled by the,model,shared,scrambled,36bc51d6562246cfaa1c75edcd5d1c8c,Information Resources
The capital was allocated by the,The capital was exhausted by the,capital,allocated,exhausted,0366ccc6f5c24903af77153bd3fe6ce8,Financial Economic Frame
The teacher was questioned by the,The teacher was burned by the,teacher,questioned,burned,93efe285028c402aa2097e0e473ef090,Humans as Physical Entities
The monument was secured by the,The monument was destroyed by the,monument,secured,destroyed,528dc6180cb74d449cf4ff9e50838e11,Physical Structures
The factory was designed by the,The factory was destroyed by the,factory,designed,destroyed,9f2d7dc4718745409bbd1e2658af41b9,Physical Structures
The chili was cooked by the,The chili was dried by the,chili,cooked,dried,29273d0cd051429b95422ea875287b93,Culinary Frame
The patient was questioned by the,The patient was blinded by the,patient,questioned,blinded,9f37da3bb25f4c4086e21e3d6591c8be,Humans as Physical Entities
The survivor was protected by the,The survivor was blinded by the,survivor,protected,blinded,43348507e7fd4e21904eccd86bd1d94e,Humans as Physical Entities
The grant was reviewed by the,The grant was distorted by the,grant,reviewed,distorted,6a6f02e0bae5406a98521297e996635c,Financial Economic Frame
The license was drafted by the,The license was lost by the,license,drafted,lost,87b6064382234849bf51e19f904bbab6,Legal Administrative Frame
The monument was monitored by the,The monument was shaken by the,monument,monitored,shaken,68abf303ee6d47fe9454396e0688dc8b,Physical Structures
The survivor was arrested by the,The survivor was struck by the,survivor,arrested,struck,61c7323ddd9748b8a076f1df8226b37b,Humans as Physical Entities
The car was repaired by the,The car was buried by the,car,repaired,buried,453b244d0bf44d539b11b118b589eed5,Vehicles and Conveyances
The image was reviewed by the,The image was erased by the,image,reviewed,erased,9ecac607ef1b4a74a2e27e69399de9ba,Information Resources
The summary was shared by the,The summary was erased by the,summary,shared,erased,d631cfc715164ea7b1241bb5fffd9cb8,Information Resources
The database was reviewed by the,The database was damaged by the,database,reviewed,damaged,ab5fb9c8b41a4c128ae170860f33b5ca,Information Resources
The worker was arrested by the,The worker was crushed by the,worker,arrested,crushed,d0c9675bf98b4d27b87c39ea3f1bbceb,Humans as Physical Entities
The pedestrian was examined by the,The pedestrian was buried by the,pedestrian,examined,buried,8748a59a02a64d80980e99741a40ef6b,Humans as Physical Entities
The train was driven by the,The train was damaged by the,train,driven,damaged,42277f2fdb0047bc9aa8eb4f4d830b6f,Vehicles and Conveyances
The backup was uploaded by the,The backup was erased by the,backup,uploaded,erased,6a6b90e590334384894eec6278f57333,Information Resources
The teacher was questioned by the,The teacher was frozen by the,teacher,questioned,frozen,ce1e68e65f84447d9d58a23a601c41da,Humans as Physical Entities
The income was managed by the,The income was distorted by the,income,managed,distorted,eb2f8cc4f9c941c3a175da60547c26fa,Financial Economic Frame
The archive was edited by the,The archive was corrupted by the,archive,edited,corrupted,228329d2ea474912b512b079ba074280,Information Resources
The dividend was protected by the,The dividend was inflated by the,dividend,protected,inflated,c28dfa9c5e9b4ea3b8bc53d327dd8647,Financial Economic Frame
The treasury was approved by the,The treasury was disrupted by the,treasury,approved,disrupted,85bf9aa1f3a345bc9f68f2f592c3bc08,Financial Economic Frame
The affidavit was processed by the,The affidavit was blocked by the,affidavit,processed,blocked,f87cac730b804eaea93488e7adfb2b55,Legal Administrative Frame
The manuscript was uploaded by the,The manuscript was compressed by the,manuscript,uploaded,compressed,5636828e18b9467e86ff312dafc75254,Information Resources
The permit was recorded by the,The permit was lost by the,permit,recorded,lost,444db745f85048fab41e3b4dd74a49d1,Legal Administrative Frame
The video was downloaded by the,The video was deleted by the,video,downloaded,deleted,3030a12b1321495db272e1d31425d9e7,Information Resources
The transcript was discussed by the,The transcript was corrupted by the,transcript,discussed,corrupted,515ef602c5734f33a35e58fa8530dad9,Academic Scientific Frame
The plane was purchased by the,The plane was blocked by the,plane,purchased,blocked,039b11b950184da191397e50948354e2,Vehicles and Conveyances
The savings was monitored by the,The savings was inflated by the,savings,monitored,inflated,970d9715fcc94638a5175f7bc2d9fdc8,Financial Economic Frame
The subsidy was monitored by the,The subsidy was disrupted by the,subsidy,monitored,disrupted,1e77991da4e0446289a783de5085ea4f,Financial Economic Frame
The pudding was served by the,The pudding was spoiled by the,pudding,served,spoiled,af1d816669c44a44b32f4787935d3f5f,Culinary Frame
The brief was reviewed by the,The brief was lost by the,brief,reviewed,lost,a4bfbf614fa64f489a66204129a941de,Legal Administrative Frame
The subpoena was signed by the,The subpoena was corrupted by the,subpoena,signed,corrupted,342ffe935049411ab2a9f832e5a8098c,Legal Administrative Frame
The deed was approved by the,The deed was buried by the,deed,approved,buried,644bfd350cc24f89a9333a04f8b0011b,Legal Administrative Frame
The permit was signed by the,The permit was blocked by the,permit,signed,blocked,9a47782fcde844b39750c7679f6995c5,Legal Administrative Frame
The broth was cooked by the,The broth was dried by the,broth,cooked,dried,0537d14a807d40789512af70de72a08b,Culinary Frame
The deed was signed by the,The deed was buried by the,deed,signed,buried,b7a4986896f6406080a90570c09df3ab,Legal Administrative Frame
The reserve was approved by the,The reserve was distorted by the,reserve,approved,distorted,2983a5c94e6b459a97e79bbdb539d0d7,Financial Economic Frame
The bicycle was purchased by the,The bicycle was overturned by the,bicycle,purchased,overturned,54939684bae34f0d93d431551cf5b3f6,Vehicles and Conveyances
The formula was published by the,The formula was obscured by the,formula,published,obscured,2e0a8c1ab16f4503a96325ab59cee750,Academic Scientific Frame
The tunnel was designed by the,The tunnel was battered by the,tunnel,designed,battered,bce1a2c053504362b8e3d74e40bb07fc,Physical Structures
The monument was monitored by the,The monument was battered by the,monument,monitored,battered,8f86d4589ffb4bebad06b48c4cdbd6bd,Physical Structures
The video was reviewed by the,The video was corrupted by the,video,reviewed,corrupted,762b01abca924a84a98cb8e3af55adf0,Information Resources
The terminal was repaired by the,The terminal was damaged by the,terminal,repaired,damaged,4cbf9c099b384272b4e3d9e6f01c9154,Physical Structures
The order was processed by the,The order was damaged by the,order,processed,damaged,12c649c0d41f4ca791cbd22c11a856bf,Legal Administrative Frame
The pedestrian was rescued by the,The pedestrian was buried by the,pedestrian,rescued,buried,7bda9ea52ce74e3aa1e1c126e2bfeef9,Humans as Physical Entities
The survey was archived by the,The survey was erased by the,survey,archived,erased,2b2af0262daa4fdbb8ff6f1f7538e75b,Academic Scientific Frame
The bicycle was driven by the,The bicycle was overturned by the,bicycle,driven,overturned,31a9b68bde1f49738e3a545c53623f2a,Vehicles and Conveyances
The table was revised by the,The table was damaged by the,table,revised,damaged,6df1006f312a44bf9c52763fcc3de4d0,Academic Scientific Frame
The license was filed by the,The license was delayed by the,license,filed,delayed,0ce9b8d3af9a45dcae527ccfa0df8a76,Legal Administrative Frame
The capital was managed by the,The capital was inflated by the,capital,managed,inflated,478c5ea3ed9d4f989dead15af691976e,Financial Economic Frame
The bunker was planned by the,The bunker was flooded by the,bunker,planned,flooded,be94b4c1988b4f829c8daccab4acfb8f,Physical Structures
The plane was painted by the,The plane was shaken by the,plane,painted,shaken,be4737ca8c2d4aed9d7738833baaeea7,Vehicles and Conveyances
The flower was protected by the,The flower was choked by the,flower,protected,choked,5ff9662bf2ea4f54b034e52e6917b0cf,Biological Organisms
The manuscript was shared by the,The manuscript was corrupted by the,manuscript,shared,corrupted,96f049ce4d55452ea408737a2225dc75,Information Resources
The abstract was revised by the,The abstract was scrambled by the,abstract,revised,scrambled,41bf62952d1442f3bb03fb1874ab7394,Academic Scientific Frame
The manuscript was revised by the,The manuscript was corrupted by the,manuscript,revised,corrupted,4c75e334449f46509530165a6dda75ef,Academic Scientific Frame
The program was indexed by the,The program was erased by the,program,indexed,erased,2bf5dd8038aa4e759510f583a6f6dc50,Information Resources
The income was reported by the,The income was distorted by the,income,reported,distorted,814c9e1b616141f2b2d04e25190b0df3,Financial Economic Frame
The girl was arrested by the,The girl was struck by the,girl,arrested,struck,c70b5abcf8934d6c81606aaa784d0837,Humans as Physical Entities
The warrant was filed by the,The warrant was lost by the,warrant,filed,lost,5cb8784ff1194d2cbd8855bf0e28b618,Legal Administrative Frame
The script was archived by the,The script was damaged by the,script,archived,damaged,06f506b1287b44c5854a7b2909d0e332,Information Resources
The backup was shared by the,The backup was erased by the,backup,shared,erased,7f65fa4f883b4328a019a1278cf02d0c,Information Resources
The permit was authorized by the,The permit was delayed by the,permit,authorized,delayed,57f8cfb3dd2540b1ac9878eb5e41cbde,Legal Administrative Frame
The petition was amended by the,The petition was shredded by the,petition,amended,shredded,6032eb5efe0f480d948d9761450972cc,Legal Administrative Frame
The building was inspected by the,The building was battered by the,building,inspected,battered,eaafca7aefdb4bf592197b0568a5ae27,Physical Structures
The pie was served by the,The pie was tainted by the,pie,served,tainted,b2129208b84d4be9aab42302061a1447,Culinary Frame
The library was surveyed by the,The library was shaken by the,library,surveyed,shaken,8c04d686095848c5a1b0cbddd3210914,Physical Structures
The broth was flavored by the,The broth was spoiled by the,broth,flavored,spoiled,d4e729be90c149f2b3a0ad9630a3ac7d,Culinary Frame
The audio was shared by the,The audio was deleted by the,audio,shared,deleted,f1f0032212854da3ae25a7ed2f9d9f39,Information Resources
The maple was trimmed by the,The maple was infected by the,maple,trimmed,infected,baa7013c21f24dbf9f7f8f6614b6f138,Biological Organisms
The entry was edited by the,The entry was erased by the,entry,edited,erased,81b423c4e4164993854aacf2e416f149,Information Resources
The affidavit was amended by the,The affidavit was corrupted by the,affidavit,amended,corrupted,c17dda484d0749ecb30d58dfca24a13a,Legal Administrative Frame
The teacher was examined by the,The teacher was burned by the,teacher,examined,burned,ee1847b34a9b4b0abdb7f3b90571da16,Humans as Physical Entities
The archive was revised by the,The archive was damaged by the,archive,revised,damaged,cbfa0acba52d42a5ab2eaa703134f818,Academic Scientific Frame
The filing was filed by the,The filing was delayed by the,filing,filed,delayed,68f9392fdcec4ae4b925a2773740b707,Legal Administrative Frame
The income was allocated by the,The income was inflated by the,income,allocated,inflated,1912f068f17045f7b5ece361b12b1b9e,Financial Economic Frame
The reserve was valued by the,The reserve was distorted by the,reserve,valued,distorted,a9997d1430a949f3bdd8421f97b2192a,Financial Economic Frame
The summons was processed by the,The summons was shredded by the,summons,processed,shredded,e1d93795095645c3b01ad1c50e294b36,Legal Administrative Frame
The permit was authorized by the,The permit was erased by the,permit,authorized,erased,60fc15cebedd4de18d49c3b4138e7f60,Legal Administrative Frame
The pasta was prepared by the,The pasta was spoiled by the,pasta,prepared,spoiled,1eba6d54710c4b0bbbf6ab91ae430f0b,Culinary Frame
The tower was secured by the,The tower was flooded by the,tower,secured,flooded,d8f282647b9a4abfac865e5d559e4f3d,Physical Structures
The stadium was repaired by the,The stadium was shaken by the,stadium,repaired,shaken,6abf741c480745f088b48140196ee25d,Physical Structures
The runway was designed by the,The runway was damaged by the,runway,designed,damaged,5cba44cf2e5547deb7d08fc0ef0f815a,Physical Structures
The abstract was archived by the,The abstract was distorted by the,abstract,archived,distorted,a74903abe63548b389482618cd86eeb1,Academic Scientific Frame
The bunker was designed by the,The bunker was flooded by the,bunker,designed,flooded,0c5644364a8644a19a287d7286d9bfb2,Physical Structures
The van was painted by the,The van was crushed by the,van,painted,crushed,9a713baefa094da6b19df3ee08196027,Vehicles and Conveyances
The pie was seasoned by the,The pie was dried by the,pie,seasoned,dried,9fc97efaacab4e0c947067b298f6404e,Culinary Frame
The survivor was treated by the,The survivor was burned by the,survivor,treated,burned,20524419b871479a9cd594a44c141154,Humans as Physical Entities
The bunker was repaired by the,The bunker was flooded by the,bunker,repaired,flooded,bb190182eced473c909450ca0babb206,Physical Structures
The tower was renovated by the,The tower was blocked by the,tower,renovated,blocked,5fe52b8badb94bfd947384ed5b2f5539,Physical Structures
The report was archived by the,The report was distorted by the,report,archived,distorted,5201db1e2bda486d9ce576cf2e395aec,Information Resources
The reserve was reported by the,The reserve was exhausted by the,reserve,reported,exhausted,c74f7878e1ad45b9b82d6c2fc031b5e9,Financial Economic Frame
The profit was managed by the,The profit was constrained by the,profit,managed,constrained,93585ad876dc4ba4839886d64dc7f41e,Financial Economic Frame
The dataset was shared by the,The dataset was corrupted by the,dataset,shared,corrupted,81d006d57e294957aa250820b3ae6c1d,Information Resources
The tourist was treated by the,The tourist was struck by the,tourist,treated,struck,52b159608cdb4dba91ce61adc73b8c1d,Humans as Physical Entities
The girl was treated by the,The girl was struck by the,girl,treated,struck,49b29e3f7208453c9f8beae4c2caeb6c,Humans as Physical Entities
The rose was inspected by the,The rose was choked by the,rose,inspected,choked,c8b1e50a35cf447e9128fe22a7d0ddc2,Biological Organisms
The library was designed by the,The library was blocked by the,library,designed,blocked,58ec0592dfd844b8b03424d24f1a1ef6,Physical Structures
The prisoner was transported by the,The prisoner was frozen by the,prisoner,transported,frozen,1a64b5554930407c930b33abbd11e72b,Humans as Physical Entities
The graph was discussed by the,The graph was corrupted by the,graph,discussed,corrupted,42e3f06812974e9794ef18a849a1b3e4,Academic Scientific Frame
The warrant was recorded by the,The warrant was damaged by the,warrant,recorded,damaged,777f7107185b4fdf8fa43cd832298f1e,Legal Administrative Frame
The boy was transported by the,The boy was blinded by the,boy,transported,blinded,c2203a395ad048a0bef8835eccefb842,Humans as Physical Entities
The bamboo was inspected by the,The bamboo was flattened by the,bamboo,inspected,flattened,8d0964502ab74b6bbb87c952a204f88c,Biological Organisms
The profile was edited by the,The profile was encrypted by the,profile,edited,encrypted,e91c84fae06d4933ad3fc8126f511857,Information Resources
The building was secured by the,The building was blocked by the,building,secured,blocked,b68241dddf5046ebbbc34d8d94c06093,Physical Structures
The flower was cultivated by the,The flower was choked by the,flower,cultivated,choked,f6c0cc35c57a432dae2a1ea50a516712,Biological Organisms
The report was reviewed by the,The report was corrupted by the,report,reviewed,corrupted,3cb8195d44004699bdf810309f4ef9a3,Academic Scientific Frame
The harbor was maintained by the,The harbor was blocked by the,harbor,maintained,blocked,dfb23202e9ff4ada85b38a74f360fa94,Physical Structures
The manuscript was revised by the,The manuscript was degraded by the,manuscript,revised,degraded,cb25397600734cfa94679086621d3c30,Academic Scientific Frame
The boy was examined by the,The boy was blinded by the,boy,examined,blinded,a17c3b72c9a34f50a8da8ec7fe13e897,Humans as Physical Entities
The pine was inspected by the,The pine was infected by the,pine,inspected,infected,3b16bced96714d50972236a0d47812c5,Biological Organisms
The paper was published by the,The paper was distorted by the,paper,published,distorted,81dedc3b358e44ca89e726b9df6ce81f,Academic Scientific Frame
The bicycle was painted by the,The bicycle was damaged by the,bicycle,painted,damaged,188712819df040148964a172000f34c9,Vehicles and Conveyances
The soldier was arrested by the,The soldier was buried by the,soldier,arrested,buried,8a145d11c9734ace971abc6a97cec58f,Humans as Physical Entities
The victim was assisted by the,The victim was burned by the,victim,assisted,burned,200f223de4214ae28c743046b64bc057,Humans as Physical Entities
The ship was parked by the,The ship was destroyed by the,ship,parked,destroyed,913f7d3108d14c8f81e4dcee84b6b48b,Vehicles and Conveyances
The ship was parked by the,The ship was blocked by the,ship,parked,blocked,5966db39f9994cc2b2a47304f4e5dd44,Vehicles and Conveyances
The subpoena was authorized by the,The subpoena was delayed by the,subpoena,authorized,delayed,6442b8f6e5d44853968f9dfd89ff2b33,Legal Administrative Frame
The garage was financed by the,The garage was buried by the,garage,financed,buried,71d3acb3e94f41499a46e21c3956825b,Physical Structures
The truck was purchased by the,The truck was buried by the,truck,purchased,buried,d88893004bfd45d0884f6cd39c81f527,Vehicles and Conveyances
The palm was trimmed by the,The palm was frozen by the,palm,trimmed,frozen,f6aace24129d446ba138e7d1261516d8,Biological Organisms
The profit was valued by the,The profit was disrupted by the,profit,valued,disrupted,0cd43cc3477b4ab4afd4b4b1d241a0bf,Financial Economic Frame
The tower was monitored by the,The tower was blocked by the,tower,monitored,blocked,0661795af2e340b481bf3edc8125eadb,Physical Structures
The pension was reviewed by the,The pension was reduced by the,pension,reviewed,reduced,6941e12bdd6d48638791dd3c089e1bc9,Financial Economic Frame
The pension was adjusted by the,The pension was depleted by the,pension,adjusted,depleted,b9d140aa98d94bd39953c2440c0e13ff,Financial Economic Frame
The bridge was surveyed by the,The bridge was shaken by the,bridge,surveyed,shaken,df6b114fe0554a398aa3cfa156b15b4a,Physical Structures
The tourist was assisted by the,The tourist was struck by the,tourist,assisted,struck,00a90a4d0a7a416b8c5522132ddce703,Humans as Physical Entities
The transcript was translated by the,The transcript was delayed by the,transcript,translated,delayed,9cbb1141682b4aaeac5691fef8bf139b,Academic Scientific Frame
The transcript was verified by the,The transcript was distorted by the,transcript,verified,distorted,d4437e9c7f0c4a14ab5a6c05192c76e1,Information Resources
The chili was cooked by the,The chili was spoiled by the,chili,cooked,spoiled,3a4e9be1c89d4a4283ccb27f795e7f40,Culinary Frame
The complaint was filed by the,The complaint was erased by the,complaint,filed,erased,9ac10dbe72e7486c8d6ae3c4a8bd0dd0,Legal Administrative Frame
The graph was analyzed by the,The graph was delayed by the,graph,analyzed,delayed,ded822a83b66423b96cc25625cdc7217,Academic Scientific Frame
The valuation was adjusted by the,The valuation was constrained by the,valuation,adjusted,constrained,c90b015ce5d74ae78ca783ef5115c4df,Financial Economic Frame
The canoe was driven by the,The canoe was flooded by the,canoe,driven,flooded,a57e5155fdb34910aa391acc080ad612,Vehicles and Conveyances
The canoe was inspected by the,The canoe was burned by the,canoe,inspected,burned,319c5fa7fca44691aaba0aee78ca20b6,Vehicles and Conveyances
The thesis was cited by the,The thesis was scrambled by the,thesis,cited,scrambled,8f339e51e7b14c6c9f9a9572e7b86915,Academic Scientific Frame
The taxi was driven by the,The taxi was damaged by the,taxi,driven,damaged,4ac81d074ff84566b9f5e0342205dd3f,Vehicles and Conveyances
The deed was recorded by the,The deed was delayed by the,deed,recorded,delayed,1d15a7a3e59048d7a5a3c9c9abf42be1,Legal Administrative Frame
The monument was monitored by the,The monument was buried by the,monument,monitored,buried,d172d75a3abf463ca26ec76e3292e4af,Physical Structures
The petition was authorized by the,The petition was shredded by the,petition,authorized,shredded,b891b3a6999e4b728ecb0a7188f5352a,Legal Administrative Frame
The road was planned by the,The road was destroyed by the,road,planned,destroyed,e70c54d933634348bd2b0073b019f3ca,Physical Structures
The application was signed by the,The application was delayed by the,application,signed,delayed,2c8f0e85025a436c8ce8c7976588c98a,Legal Administrative Frame
The grant was managed by the,The grant was depleted by the,grant,managed,depleted,6e0d52bc1c274984bc7a4962939cc833,Financial Economic Frame
The file was edited by the,The file was erased by the,file,edited,erased,a706a5197d884055b4ab12f3e9a16220,Information Resources
The file was reviewed by the,The file was deleted by the,file,reviewed,deleted,933e44eb548a479fad90376b07c685d5,Information Resources
The fund was protected by the,The fund was drained by the,fund,protected,drained,04fbbf5cc7354a2393808d295d61c1d5,Financial Economic Frame
The savings was managed by the,The savings was reduced by the,savings,managed,reduced,ded3366cefb04d4a86ae3c6c0376faf4,Financial Economic Frame
The filing was filed by the,The filing was soaked by the,filing,filed,soaked,09835f25a9c7461cbf083925c2197dd5,Legal Administrative Frame
The script was reviewed by the,The script was corrupted by the,script,reviewed,corrupted,b5cb6e627a70418cac4fc94161cbcff8,Information Resources
The palm was protected by the,The palm was choked by the,palm,protected,choked,8ffffbc31da14913a9bca1a1cb36af8b,Biological Organisms
The station was surveyed by the,The station was blocked by the,station,surveyed,blocked,deffdb1f70b940c497024f62238cb0bc,Physical Structures
The student was arrested by the,The student was trapped by the,student,arrested,trapped,849dc064247e419f8f275302501fc81f,Humans as Physical Entities
The thesis was reviewed by the,The thesis was degraded by the,thesis,reviewed,degraded,2d99b298a43540bb8239c95272110ca4,Academic Scientific Frame
The summary was verified by the,The summary was compressed by the,summary,verified,compressed,39d425a6255943029aa5517d88d9a3b1,Information Resources
The uniform was packed by the,The uniform was torn by the,uniform,packed,torn,ba51e720db294128bc8435df5abf6f31,Textile Garment Frame
The ship was designed by the,The ship was crushed by the,ship,designed,crushed,cd03e852f3414dc6bf7a0e36fb2e6792,Vehicles and Conveyances
The survey was discussed by the,The survey was delayed by the,survey,discussed,delayed,225505ad66b64a7ea6fbbbb1062649b9,Academic Scientific Frame
The maple was trimmed by the,The maple was choked by the,maple,trimmed,choked,fb01eb59692241f3ac56eef7762b652f,Biological Organisms
The application was reviewed by the,The application was buried by the,application,reviewed,buried,029cefca830e41c78f380db04c7a9c59,Legal Administrative Frame
The tourist was assisted by the,The tourist was burned by the,tourist,assisted,burned,9320664c12494f72be40e0bd3f981d68,Humans as Physical Entities
The contract was filed by the,The contract was erased by the,contract,filed,erased,bcb8af39bce24257b9407b8689996bcd,Legal Administrative Frame
The van was repaired by the,The van was overturned by the,van,repaired,overturned,801e9ceebcfd4fad8d778630d69ee03c,Vehicles and Conveyances
The student was assisted by the,The student was crushed by the,student,assisted,crushed,3fdbfca2a2f94907b9049ee447d57852,Humans as Physical Entities
The subsidy was reported by the,The subsidy was depleted by the,subsidy,reported,depleted,b6164e2fbfbb4df98be076a261787010,Financial Economic Frame
The dam was monitored by the,The dam was blocked by the,dam,monitored,blocked,577275d9f4784e7db149662be126228f,Physical Structures
The bridge was financed by the,The bridge was flooded by the,bridge,financed,flooded,6b1974378fe74bdfa146bd9c5c199854,Physical Structures
The survivor was examined by the,The survivor was swept by the,survivor,examined,swept,76dd3981b80640888205887f78b3671e,Humans as Physical Entities
The motion was amended by the,The motion was blocked by the,motion,amended,blocked,761566083d594dfaa8224a95fe32fb78,Legal Administrative Frame
The summary was analyzed by the,The summary was distorted by the,summary,analyzed,distorted,cf35644caea84f09b206633fa6b97994,Academic Scientific Frame
The manuscript was uploaded by the,The manuscript was corrupted by the,manuscript,uploaded,corrupted,dee6ae7a03e14599a55d550588ed1f4b,Information Resources
The report was published by the,The report was scrambled by the,report,published,scrambled,f1aff50a31f94ba1acedeabd2fb7fa20,Academic Scientific Frame
The bus was driven by the,The bus was destroyed by the,bus,driven,destroyed,07b8a09624ae4e23afa766f2d8d4c61d,Vehicles and Conveyances
The passenger was protected by the,The passenger was struck by the,passenger,protected,struck,48d75c70862545a6ae1653e0d1d8b098,Humans as Physical Entities
The image was discussed by the,The image was obscured by the,image,discussed,obscured,5d7f967e33c14fcdbbe5c511d9eb877c,Academic Scientific Frame
The policy was reviewed by the,The policy was damaged by the,policy,reviewed,damaged,2cd68769b7d047998dc9eb255ca0a967,Legal Administrative Frame
The permit was approved by the,The permit was corrupted by the,permit,approved,corrupted,44b714974a2b40ba8b11b336792f1884,Legal Administrative Frame
The victim was rescued by the,The victim was struck by the,victim,rescued,struck,04f49bfb453b41ff9074282ab2a16072,Humans as Physical Entities
The dataset was uploaded by the,The dataset was compressed by the,dataset,uploaded,compressed,95d7cd0315074044bcb13379d6a2ef4e,Information Resources
The backup was indexed by the,The backup was erased by the,backup,indexed,erased,90fcd6ca05754fe4bdcfb4561a4e71af,Information Resources
The victim was identified by the,The victim was crushed by the,victim,identified,crushed,692185484b62423083a7eec688f703ae,Humans as Physical Entities
The reserve was protected by the,The reserve was inflated by the,reserve,protected,inflated,abc9a0762c164dfd8eb382b3f99fcc96,Financial Economic Frame
The manuscript was cited by the,The manuscript was obscured by the,manuscript,cited,obscured,18f7a587b4764427b9b4455fa2ca588f,Academic Scientific Frame
The bunker was monitored by the,The bunker was shaken by the,bunker,monitored,shaken,6bf74017a4ed4bd396065d43361d5dfc,Physical Structures
The subpoena was signed by the,The subpoena was erased by the,subpoena,signed,erased,c65af17ca2ab46acacb91e19223b35f2,Legal Administrative Frame
The video was indexed by the,The video was damaged by the,video,indexed,damaged,cb47c4d5de8540d7a9a6b300f3bee83c,Information Resources
The dividend was managed by the,The dividend was constrained by the,dividend,managed,constrained,10a676cba5e64e1f93f60bcb63abd2ae,Financial Economic Frame
The protocol was validated by the,The protocol was damaged by the,protocol,validated,damaged,3220ae13f35649d0a01e92ec85530994,Academic Scientific Frame
The lease was signed by the,The lease was erased by the,lease,signed,erased,77dbb09e6eb846cfa4c775ef3701d01a,Legal Administrative Frame
The bicycle was inspected by the,The bicycle was crushed by the,bicycle,inspected,crushed,795a8a61d1ad44b08711b59cf65363f1,Vehicles and Conveyances
The deed was drafted by the,The deed was lost by the,deed,drafted,lost,40a3a99ff0df4552bea412d2caa40e13,Legal Administrative Frame
The car was loaded by the,The car was destroyed by the,car,loaded,destroyed,769c92d86c1d46bf9405988290e1822f,Vehicles and Conveyances
The road was inspected by the,The road was buried by the,road,inspected,buried,87cc5a51ed4042b88f630bf2c1d982bd,Physical Structures
The complaint was authorized by the,The complaint was corrupted by the,complaint,authorized,corrupted,8b5b9fa3f4934cbb842baad21bdbf872,Legal Administrative Frame
The affidavit was filed by the,The affidavit was damaged by the,affidavit,filed,damaged,c111bc2b86ab4f4083734e7d69cb5d68,Legal Administrative Frame
The tunnel was secured by the,The tunnel was blocked by the,tunnel,secured,blocked,01c16c5b3d6e40749fa8c011f70a1258,Physical Structures
The soldier was protected by the,The soldier was frozen by the,soldier,protected,frozen,57621786b1854517a2a5b5f623593464,Humans as Physical Entities
The blanket was folded by the,The blanket was stained by the,blanket,folded,stained,5036b1d7ac694d4ea2faa6ed2df1f4e1,Textile Garment Frame
The motorcycle was designed by the,The motorcycle was crushed by the,motorcycle,designed,crushed,1b6462865db44f25a99eb4bb3899ed04,Vehicles and Conveyances
The farmer was questioned by the,The farmer was struck by the,farmer,questioned,struck,c2263f26426a457ea8b27c297c909edf,Humans as Physical Entities
The chapter was discussed by the,The chapter was obscured by the,chapter,discussed,obscured,549f0c49ba394f67bdab5eeed6dc23fe,Academic Scientific Frame
